ИмяТаблицыХранения	ИмяТаблицы	Метаданные	Назначение	
_1SUSERS	Соединений	Соединений		
_1SSYSTEM	Системная	Системная		
_1SCONST	Константы	Константы		
_1SJOURN	Журналы	Журналы		
_1SCRDOC	Ссылки.документов	Ссылки.документов		
_1SDNLOCK	Номеров.документов	Номеров.документов		
_1SUIDCTL	Уникальности	Уникальности		
SC552	Справочник.Аналоги	Справочник.Аналоги		
SC163	Справочник.Банки	Справочник.Банки		
SC1710	Справочник.БанковскиеСчета	Справочник.БанковскиеСчета		
SC14	Справочник.Валюты	Справочник.Валюты		
SC546	Справочник.ВидыСвойств	Справочник.ВидыСвойств		
SC2532	Справочник.ВидыСубконто	Справочник.ВидыСубконто		
SC568	Справочник.ГТД	Справочник.ГТД		
SC4264	Справочник.ДвиженияДенежныхСре	Справочник.ДвиженияДенежныхСре		
SC2543	Справочник.ДвиженияРегистров	Справочник.ДвиженияРегистров		
SC204	Справочник.Договоры	Справочник.Договоры		
SC75	Справочник.Единицы	Справочник.Единицы		
SC556	Справочник.ЗначенияСвойств	Справочник.ЗначенияСвойств		
SC2534	Справочник.ЗначенияСубконто	Справочник.ЗначенияСубконто		
SC1809	Справочник.Кассы	Справочник.Кассы		
SC538	Справочник.Каталоги	Справочник.Каталоги		
SC890	Справочник.Комплектация	Справочник.Комплектация		
SC172	Справочник.Контрагенты	Справочник.Контрагенты		
SC84	Справочник.Номенклатура	Справочник.Номенклатура		
SC41	Справочник.ОКЕИ	Справочник.ОКЕИ		
SC566	Справочник.ОКСМ	Справочник.ОКСМ		
SC214	Справочник.Партии	Справочник.Партии		
SC2221	Справочник.ПланСчетов	Справочник.ПланСчетов		
SC2335	Справочник.ПолномочияПользоват	Справочник.ПолномочияПользоват		
SC30	Справочник.Пользователи	Справочник.Пользователи		
SC2875	Справочник.ПроводкиХозОпераций	Справочник.ПроводкиХозОпераций		
SC796	Справочник.Проекты	Справочник.Проекты		
SC577	Справочник.Сайты	Справочник.Сайты		
SC131	Справочник.СвоиЮрЛица	Справочник.СвоиЮрЛица		
SC558	Справочник.СвойстваКонтрагенто	Справочник.СвойстваКонтрагенто		
SC562	Справочник.СвойстваНоменклатур	Справочник.СвойстваНоменклатур		
SC426	Справочник.Скидки	Справочник.Скидки		
SC55	Справочник.Склады	Справочник.Склады		
SC35	Справочник.СтавкиНП	Справочник.СтавкиНП		
SC219	Справочник.ТипыЦен	Справочник.ТипыЦен		
SC72	Справочник.УпрАналитика	Справочник.УпрАналитика		
SC503	Справочник.ФизЛица	Справочник.ФизЛица		
SC4014	Справочник.Фирмы	Справочник.Фирмы		
SC7657	Справочник.ФП_ВыгрузкаДанных	Справочник.ФП_ВыгрузкаДанных		
SC7664	Справочник.ФП_ОтборДанных	Справочник.ФП_ОтборДанных		
SC7677	Справочник.ФП_Справочники	Справочник.ФП_Справочники		
SC2537	Справочник.ХозОперации	Справочник.ХозОперации		
SC319	Справочник.Цены	Справочник.Цены		
SC493	Справочник.ЮрЛица	Справочник.ЮрЛица		
SC9245	Справочник.ЛицензииПоставщиков	Справочник.ЛицензииПоставщиков		
SC9248	Справочник.ВидыАлкогольнойПрод	Справочник.ВидыАлкогольнойПрод		
DH6675	Документ.АвансовыйОтчет	Документ.АвансовыйОтчет		
DH4824	Документ.БыстраяПродажа	Документ.БыстраяПродажа		
DT4824	Документ.(Мн.ч.).БыстраяПродаж	Документ.(Мн.ч.).БыстраяПродаж		
DH6334	Документ.ВводОстатковЗаказыЗая	Документ.ВводОстатковЗаказыЗая		
DT6334	Документ.(Мн.ч.).ВводОстатковЗ	Документ.(Мн.ч.).ВводОстатковЗ		
DH3813	Документ.ВводОстатковКассаБанк	Документ.ВводОстатковКассаБанк		
DT3813	Документ.(Мн.ч.).ВводОстатковК	Документ.(Мн.ч.).ВводОстатковК		
DH3805	Документ.ВводОстатковПокупател	Документ.ВводОстатковПокупател		
DT3805	Документ.(Мн.ч.).ВводОстатковП	Документ.(Мн.ч.).ВводОстатковП		
DH3790	Документ.ВводОстатковПоставщик	Документ.ВводОстатковПоставщик		
DT3790	Документ.(Мн.ч.).ВводОстатковП	Документ.(Мн.ч.).ВводОстатковП		
DH3957	Документ.ВводОстатковТМЦ	Документ.ВводОстатковТМЦ		
DT3957	Документ.(Мн.ч.).ВводОстатковТ	Документ.(Мн.ч.).ВводОстатковТ		
DH1656	Документ.ВозвратОтПокупателя	Документ.ВозвратОтПокупателя		
DT1656	Документ.(Мн.ч.).ВозвратОтПоку	Документ.(Мн.ч.).ВозвратОтПоку		
DH1684	Документ.ВозвратПоставщику	Документ.ВозвратПоставщику		
DT1684	Документ.(Мн.ч.).ВозвратПостав	Документ.(Мн.ч.).ВозвратПостав		
DH3521	Документ.Доверенность	Документ.Доверенность		
DT3521	Документ.(Мн.ч.).Доверенность	Документ.(Мн.ч.).Доверенность		
DH2742	Документ.ЗаказПоставщику	Документ.ЗаказПоставщику		
DT2742	Документ.(Мн.ч.).ЗаказПоставщи	Документ.(Мн.ч.).ЗаказПоставщи		
DH5155	Документ.ЗакрытиеМесяца	Документ.ЗакрытиеМесяца		
DH3504	Документ.ЗаписьКнигиПокупок	Документ.ЗаписьКнигиПокупок		
DT3504	Документ.(Мн.ч.).ЗаписьКнигиПо	Документ.(Мн.ч.).ЗаписьКнигиПо		
DH4389	Документ.ЗаписьКнигиПродаж	Документ.ЗаписьКнигиПродаж		
DT4389	Документ.(Мн.ч.).ЗаписьКнигиПр	Документ.(Мн.ч.).ЗаписьКнигиПр		
DH2457	Документ.ЗаявкаПокупателя	Документ.ЗаявкаПокупателя		
DT2457	Документ.(Мн.ч.).ЗаявкаПокупат	Документ.(Мн.ч.).ЗаявкаПокупат		
DH4541	Документ.ИнвентаризацияКомисси	Документ.ИнвентаризацияКомисси		
DT4541	Документ.(Мн.ч.).Инвентаризаци	Документ.(Мн.ч.).Инвентаризаци		
DH3725	Документ.ИнвентаризацияТМЦ	Документ.ИнвентаризацияТМЦ		
DT3725	Документ.(Мн.ч.).Инвентаризаци	Документ.(Мн.ч.).Инвентаризаци		
DH3592	Документ.КнигаПокупок	Документ.КнигаПокупок		
DH4694	Документ.КнигаПродаж	Документ.КнигаПродаж		
DH2320	Документ.КомплектацияТМЦ	Документ.КомплектацияТМЦ		
DT2320	Документ.(Мн.ч.).КомплектацияТ	Документ.(Мн.ч.).КомплектацияТ		
DH3995	Документ.КорректировкаДолга	Документ.КорректировкаДолга		
DH6918	Документ.КорректировкаОтгрузки	Документ.КорректировкаОтгрузки		
DT6918	Документ.(Мн.ч.).Корректировка	Документ.(Мн.ч.).Корректировка		
DH2106	Документ.ОприходованиеТМЦ	Документ.ОприходованиеТМЦ		
DT2106	Документ.(Мн.ч.).Оприходование	Документ.(Мн.ч.).Оприходование		
DH6313	Документ.ОтменаЗаявок	Документ.ОтменаЗаявок		
DT6313	Документ.(Мн.ч.).ОтменаЗаявок	Документ.(Мн.ч.).ОтменаЗаявок		
DH3114	Документ.ОтчетККМ	Документ.ОтчетККМ		
DT3114	Документ.(Мн.ч.).ОтчетККМ	Документ.(Мн.ч.).ОтчетККМ		
DH1774	Документ.ОтчетКомиссионера	Документ.ОтчетКомиссионера		
DT1774	Документ.(Мн.ч.).ОтчетКомиссио	Документ.(Мн.ч.).ОтчетКомиссио		
DH2827	Документ.ОтчетКомитенту	Документ.ОтчетКомитенту		
DT2827	Документ.(Мн.ч.).ОтчетКомитент	Документ.(Мн.ч.).ОтчетКомитент		
DH4847	Документ.ПеремещениеДенегБанк	Документ.ПеремещениеДенегБанк		
DH4854	Документ.ПеремещениеДенегКасса	Документ.ПеремещениеДенегКасса		
DH1628	Документ.ПеремещениеТМЦ	Документ.ПеремещениеТМЦ		
DT1628	Документ.(Мн.ч.).ПеремещениеТМ	Документ.(Мн.ч.).ПеремещениеТМ		
DH4913	Документ.ПереоценкаВалюты	Документ.ПереоценкаВалюты		
DH4132	Документ.ПереоценкаРозница	Документ.ПереоценкаРозница		
DT4132	Документ.(Мн.ч.).ПереоценкаРоз	Документ.(Мн.ч.).ПереоценкаРоз		
DH5211	Документ.ПереоценкаУКомиссионе	Документ.ПереоценкаУКомиссионе		
DT5211	Документ.(Мн.ч.).ПереоценкаУКо	Документ.(Мн.ч.).ПереоценкаУКо		
DH2196	Документ.ПКО	Документ.ПКО		
DH1731	Документ.ПлатежноеПоручение	Документ.ПлатежноеПоручение		
DH2075	Документ.ПоступлениеДопРасходы	Документ.ПоступлениеДопРасходы		
DT2075	Документ.(Мн.ч.).ПоступлениеДо	Документ.(Мн.ч.).ПоступлениеДо		
DH3638	Документ.ПоступлениеПрочее	Документ.ПоступлениеПрочее		
DT3638	Документ.(Мн.ч.).ПоступлениеПр	Документ.(Мн.ч.).ПоступлениеПр		
DH1582	Документ.ПоступлениеТМЦ	Документ.ПоступлениеТМЦ		
DT1582	Документ.(Мн.ч.).ПоступлениеТМ	Документ.(Мн.ч.).ПоступлениеТМ		
DH3311	Документ.ПоступлениеТМЦИмпорт	Документ.ПоступлениеТМЦИмпорт		
DT3311	Документ.(Мн.ч.).ПоступлениеТМ	Документ.(Мн.ч.).ПоступлениеТМ		
DH6532	Документ.ПоступлениеТМЦРозница	Документ.ПоступлениеТМЦРозница		
DT6532	Документ.(Мн.ч.).ПоступлениеТМ	Документ.(Мн.ч.).ПоступлениеТМ		
DH1611	Документ.Реализация	Документ.Реализация		
DT1611	Документ.(Мн.ч.).Реализация	Документ.(Мн.ч.).Реализация		
DH3614	Документ.РеализацияПрочее	Документ.РеализацияПрочее		
DT3614	Документ.(Мн.ч.).РеализацияПро	Документ.(Мн.ч.).РеализацияПро		
DH5292	Документ.РеализацияРозница	Документ.РеализацияРозница		
DT5292	Документ.(Мн.ч.).РеализацияРоз	Документ.(Мн.ч.).РеализацияРоз		
DH2225	Документ.РКО	Документ.РКО		
DH6322	Документ.СнятиеРезерва	Документ.СнятиеРезерва		
DT6322	Документ.(Мн.ч.).СнятиеРезерва	Документ.(Мн.ч.).СнятиеРезерва		
DH1790	Документ.СписаниеТМЦ	Документ.СписаниеТМЦ		
DT1790	Документ.(Мн.ч.).СписаниеТМЦ	Документ.(Мн.ч.).СписаниеТМЦ		
DH6661	Документ.Сторно	Документ.Сторно		
DH2998	Документ.СтрокаАвансОтчетаОпла	Документ.СтрокаАвансОтчетаОпла		
DT2998	Документ.(Мн.ч.).СтрокаАвансОт	Документ.(Мн.ч.).СтрокаАвансОт		
DH3089	Документ.СтрокаАвансОтчетаПроч	Документ.СтрокаАвансОтчетаПроч		
DT3089	Документ.(Мн.ч.).СтрокаАвансОт	Документ.(Мн.ч.).СтрокаАвансОт		
DH2988	Документ.СтрокаАвансОтчетаТМЦ	Документ.СтрокаАвансОтчетаТМЦ		
DT2988	Документ.(Мн.ч.).СтрокаАвансОт	Документ.(Мн.ч.).СтрокаАвансОт		
DH3259	Документ.СтрокаВыпискиПриход	Документ.СтрокаВыпискиПриход		
DH3274	Документ.СтрокаВыпискиРасход	Документ.СтрокаВыпискиРасход		
DH2051	Документ.СчетФактураВыданный	Документ.СчетФактураВыданный		
DT2051	Документ.(Мн.ч.).СчетФактураВы	Документ.(Мн.ч.).СчетФактураВы		
DH2695	Документ.СчетФактураПолученный	Документ.СчетФактураПолученный		
DT2695	Документ.(Мн.ч.).СчетФактураПо	Документ.(Мн.ч.).СчетФактураПо		
DH3046	Документ.ЧекККМ	Документ.ЧекККМ		
DT3046	Документ.(Мн.ч.).ЧекККМ	Документ.(Мн.ч.).ЧекККМ		
DH9017	Документ.КорректировочныйСчетФ	Документ.КорректировочныйСчетФ		
DT9017	Документ.(Мн.ч.).Корректировоч	Документ.(Мн.ч.).Корректировоч		
DH9036	Документ.КорректировочныйСчетФ	Документ.КорректировочныйСчетФ		
DT9036	Документ.(Мн.ч.).Корректировоч	Документ.(Мн.ч.).Корректировоч		
DH9133	Документ.ИсправлениеСчетаФакту	Документ.ИсправлениеСчетаФакту		
DT9133	Документ.(Мн.ч.).ИсправлениеСч	Документ.(Мн.ч.).ИсправлениеСч		
DH9163	Документ.ИсправлениеСчетаФакту	Документ.ИсправлениеСчетаФакту		
DT9163	Документ.(Мн.ч.).ИсправлениеСч	Документ.(Мн.ч.).ИсправлениеСч		
RG639	Регистр.Банк	Регистр.Банк		
RA639	Регистр.(Дв.).Банк	Регистр.(Дв.).Банк		
RG464	Регистр.Заказы	Регистр.Заказы		
RA464	Регистр.(Дв.).Заказы	Регистр.(Дв.).Заказы		
RG4667	Регистр.ЗаказыЗаявки	Регистр.ЗаказыЗаявки		
RA4667	Регистр.(Дв.).ЗаказыЗаявки	Регистр.(Дв.).ЗаказыЗаявки		
RG4674	Регистр.Заявки	Регистр.Заявки		
RA4674	Регистр.(Дв.).Заявки	Регистр.(Дв.).Заявки		
RG635	Регистр.Касса	Регистр.Касса		
RA635	Регистр.(Дв.).Касса	Регистр.(Дв.).Касса		
RG3549	Регистр.КнигаПокупок	Регистр.КнигаПокупок		
RA3549	Регистр.(Дв.).КнигаПокупок	Регистр.(Дв.).КнигаПокупок		
RG4343	Регистр.КнигаПродаж	Регистр.КнигаПродаж		
RA4343	Регистр.(Дв.).КнигаПродаж	Регистр.(Дв.).КнигаПродаж		
RG405	Регистр.ОстаткиТМЦ	Регистр.ОстаткиТМЦ		
RA405	Регистр.(Дв.).ОстаткиТМЦ	Регистр.(Дв.).ОстаткиТМЦ		
RG328	Регистр.ПартииНаличие	Регистр.ПартииНаличие		
RA328	Регистр.(Дв.).ПартииНаличие	Регистр.(Дв.).ПартииНаличие		
RG351	Регистр.ПартииОтданные	Регистр.ПартииОтданные		
RA351	Регистр.(Дв.).ПартииОтданные	Регистр.(Дв.).ПартииОтданные		
RG2964	Регистр.ПодотчетныеЛица	Регистр.ПодотчетныеЛица		
RA2964	Регистр.(Дв.).ПодотчетныеЛица	Регистр.(Дв.).ПодотчетныеЛица		
RG4335	Регистр.Покупатели	Регистр.Покупатели		
RA4335	Регистр.(Дв.).Покупатели	Регистр.(Дв.).Покупатели		
RG4314	Регистр.Поставщики	Регистр.Поставщики		
RA4314	Регистр.(Дв.).Поставщики	Регистр.(Дв.).Поставщики		
RG2351	Регистр.Продажи	Регистр.Продажи		
RA2351	Регистр.(Дв.).Продажи	Регистр.(Дв.).Продажи		
RG438	Регистр.РеализованныйТовар	Регистр.РеализованныйТовар		
RA438	Регистр.(Дв.).РеализованныйТов	Регистр.(Дв.).РеализованныйТов		
RG4480	Регистр.РезервыТМЦ	Регистр.РезервыТМЦ		
RA4480	Регистр.(Дв.).РезервыТМЦ	Регистр.(Дв.).РезервыТМЦ		
_1SSTREAM	Последовательность.документов	Последовательность.документов		